stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code,zone_id
14522,Pontiac Lake / Irwindale (EB),42.653365,-83.377111,0,14522,standard
14521,Pontiac Lake / Highland (EB),42.6546038,-83.3731467,0,14521,standard
14520,Pontiac Lake / Eason (EB),42.6547813,-83.3660817,0,14520,standard
14519,Pontiac Lake / Williamsbury (EB),42.6544854,-83.3623534,0,14519,standard
14518,Pontiac Lake / Elira (EB),42.6537477,-83.3585769,0,14518,standard
14517,Pontiac Lake / Cass Lake (EB),42.653795,-83.3557874,0,14517,standard
14516,Pontiac Lake / Village Green (EB),42.6538818,-83.352778,0,14516,standard
14515,Pontiac Lake / Henderson (EB),42.6539607,-83.3486956,0,14515,standard
14514,Pontiac Lake / Scott Lake (EB),42.6540396,-83.3460939,0,14514,standard
14513,Pontiac Lake / Paige (EB),42.6540988,-83.3429986,0,14513,standard
14512,Pontiac Lake / Nash (EB),42.6541501,-83.339662,0,14512,standard
14511,Pontiac Lake / Watkins Lake (EB),42.6541304,-83.3369207,0,14511,standard
14510,Telegraph / Pontiac Lake (SB),42.6502323,-83.3267605,0,14510,standard
14509,Telegraph / Mall (SB),42.6469298,-83.3264977,0,14509,standard
14508,Telegraph / Elizabeth Lake (SB),42.6394561,-83.3260846,0,14508,standard
14507,Telegraph / Boston (SB),42.637479,-83.325972,0,14507,standard
14506,Telegraph / Huron (NB),42.6354624,-83.3255053,0,14506,standard
14505,Telegraph / Boston (NB),42.6377828,-83.3256394,0,14505,standard
14504,Telegraph / Oakland Pointe (NB),42.6436153,-83.325972,0,14504,standard
14503,Telegraph / Vanguard (NB),42.6477544,-83.3261222,0,14503,standard
14502,Pontiac Lake / County Center (WB),42.6535899,-83.3351988,0,14502,standard
14501,Pontiac Lake / Watkins Lake (WB),42.6544184,-83.3379561,0,14501,standard
14500,Pontiac Lake / Nash (WB),42.6543395,-83.3401448,0,14500,standard
14499,Pontiac Lake / Paige (WB),42.6542448,-83.343342,0,14499,standard
14498,Pontiac Lake / Scott Lake (WB),42.6542132,-83.346743,0,14498,standard
14497,Pontiac Lake / Waterford Mott (WB),42.654158,-83.34979,0,14497,standard
14496,Pontiac Lake / Hira (WB),42.6540594,-83.3537382,0,14496,standard
14495,Pontiac Lake / Cass Lake (WB),42.6539805,-83.3565652,0,14495,standard
14494,Pontiac Lake / Bielby (WB),42.653941,-83.3593708,0,14494,standard
14493,Pontiac Lake / Merry (WB),42.6547932,-83.3631635,0,14493,standard
14492,Pontiac Lake / Eason (WB),42.6549747,-83.366586,0,14492,standard
14491,Pontiac Lake / Highland (WB),42.6545762,-83.3741123,0,14491,standard
14490,Pontiac Lake / Irwindale (WB),42.6534123,-83.377803,0,14490,standard
14489,Pontiac Lake / Wadsworth (WB),42.6532703,-83.3812469,0,14489,standard
14488,Pontiac Lake / Crescent Lake (WB),42.6531993,-83.3861232,0,14488,standard
14487,Pontiac Lake / Buster (WB),42.6531322,-83.3880866,0,14487,standard
14486,Pontiac Lake / Lynsue (WB),42.6530217,-83.3924639,0,14486,standard
14485,Pontiac Lake / Farm (WB),42.6528955,-83.3956182,0,14485,standard
14484,Pontiac Lake / Irwin (WB),42.6528363,-83.3992875,0,14484,standard
14483,Airport / Pontiac Lake (NB),42.6527811,-83.4055048,0,14483,standard
14482,Airport / Sutherland (NB),42.6557755,-83.405655,0,14482,standard
14481,Airport / Northridge (NB),42.6577047,-83.4057301,0,14481,standard
14480,Oakland / Highland (SB),42.6602295,-83.4312272,0,14480,standard
14479,Oakland / Community Programs Inc (SB),42.6584937,-83.4316832,0,14479,standard
