shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0104,42.4772364,-83.0352836,496,18960.727351271693
0104,42.4772059,-83.0362573,497,19040.65379691756
0104,42.4772047,-83.0363524,498,19048.454220469754
0104,42.4771996,-83.036604,499,19069.096076006845
0104,42.4771952,-83.0368209,500,19086.891073634826
0104,42.4771945,-83.0371624,501,19114.89807264226
0104,42.4771943,-83.037249,502,19122.000294180278
0104,42.4771938,-83.037487,503,19141.519085240987
0104,42.4771934,-83.0377043,504,19159.34021688719
0104,42.4771931,-83.0381656,505,19197.1720883368
0104,42.4771922,-83.0384425,506,19219.8812644766
0104,42.4771894,-83.0388704,507,19254.97532310154
0104,42.4771842,-83.0394959,508,19306.276714875017
0104,42.4771828,-83.0396707,509,19320.613154256833
0104,42.4771822,-83.0397963,510,19330.914003360926
0104,42.4771718,-83.041914,511,19504.593430721096
0104,42.4771698,-83.0425556,512,19557.212430906922
0104,42.4771698,-83.0425912,513,19560.13203768102
0104,42.4771698,-83.0426985,514,19568.931863715166
0104,42.4771694,-83.0445962,515,19724.56495412118
0104,42.4771676,-83.0449624,516,19754.598205971564
0104,42.477167,-83.0450782,517,19764.095363852808
0104,42.4771641,-83.0452174,518,19775.515908557743
0104,42.4771558,-83.045673,519,19812.89171673586
0104,42.4771516,-83.0459544,520,19835.974462946284
0104,42.4771378,-83.0468755,521,19911.530801696925
0104,42.4771345,-83.0471702,522,19935.7023674062
0104,42.4771217,-83.0477743,523,19985.265943285027
0104,42.4771156,-83.0480982,524,20011.838124463615
0104,42.4771138,-83.0481958,525,20019.844948741873
0104,42.4771091,-83.0484777,526,20042.96989758351
0104,42.4771068,-83.0486163,527,20054.339569247026
0104,42.4770948,-83.0491762,528,20100.277200623845
0104,42.4770848,-83.049853,529,20155.793741672107
0104,42.4770829,-83.0499886,530,20166.916513001586
0104,42.4770812,-83.0501066,531,20176.595720899615
0104,42.4770777,-83.050353,532,20196.80711281207
0104,42.4770568,-83.0515557,533,20295.469790878935
0104,42.4770538,-83.0517067,534,20307.85803102122
0104,42.4770449,-83.0524834,535,20371.564115529363
0104,42.4770427,-83.0526707,536,20386.92683439234
