ID,Lat,Lon,Sequence,Distance
8534,42.3261987,-83.3111019,650,27821.859876062947
8534,42.326188,-83.311496,651,27854.280284028333
8534,42.3261802,-83.3118152,652,27880.535731661592
8534,42.3261756,-83.3120028,653,27895.966624537275
8534,42.3261703,-83.3122196,654,27913.79928337239
8534,42.3261624,-83.3125404,655,27940.186569271267
8534,42.326158,-83.312721,656,27955.041582546608
8534,42.3261535,-83.3128721,657,27967.47344467966
8534,42.3261285,-83.3137142,658,28036.757495992948
8534,42.3261264,-83.3137838,659,28042.484011597604
8534,42.326121,-83.313965,660,28057.392396652027
8534,42.3261145,-83.3141596,661,28073.40660681651
8534,42.32608,-83.315201,662,28159.105101147674
8534,42.3260744,-83.3153719,663,28173.168438451303
8534,42.32604,-83.316414,664,28258.923979309333
8534,42.3260354,-83.3165626,665,28271.150971172072
8534,42.3260137,-83.3172659,666,28329.01904741502
8534,42.3260079,-83.3174533,667,28344.438552858548
8534,42.326003,-83.317611,668,28357.414395925054
8534,42.3259976,-83.3177748,669,28370.89365289887
8534,42.3259971,-83.3177906,670,28372.193748555925
8534,42.325962,-83.318852,671,28459.537927233505
8534,42.325922,-83.320096,672,28561.903012726078
8534,42.3259075,-83.3204911,673,28594.423927072035
8534,42.3258995,-83.3207084,674,28612.310160651814
8534,42.325887,-83.321049,675,28640.34515806606
8534,42.3258861,-83.3211334,676,28647.284353587027
8534,42.325884,-83.321326,677,28663.119607305678
8534,42.325877,-83.3215567,678,28682.101284613636
8534,42.3258762,-83.3215834,679,28684.29807790529
8534,42.3258678,-83.3218609,680,28707.13030643982
8534,42.325858,-83.3221828,681,28733.615950828622
8534,42.325811,-83.323733,682,28861.164190533404
8534,42.3257431,-83.3259347,683,29042.322356406814
8534,42.3257416,-83.3259827,684,29046.271940354734
8534,42.325737,-83.326131,685,29058.474348866253
8534,42.3257317,-83.3263152,686,29073.62882150016
8534,42.3257011,-83.32738,687,29161.231737642334
8534,42.325668,-83.328529,688,29255.762326631873
8534,42.3256447,-83.329365,689,29324.538458065417
8534,42.3256427,-83.329436,690,29330.37958348438
8534,42.3256378,-83.3296118,691,29344.84232042786
8534,42.3256358,-83.3296845,692,29350.823104068542
8534,42.3256117,-83.3305477,693,29421.837140284755
8534,42.3256102,-83.3306013,694,29426.24673931823
8534,42.325601,-83.330932,695,29453.45275120563
8534,42.325595,-83.3311265,696,29469.456466647553
8534,42.3255878,-83.3313575,697,29488.463796993667
8534,42.3255713,-83.3318871,698,29532.040751358807
8534,42.3255629,-83.3321456,699,29553.312507242146
8534,42.325549,-83.3325726,700,29588.45011807555
8534,42.3254932,-83.335023,701,29789.992747335116
8534,42.3254874,-83.335277,702,29810.884025074974
8534,42.3254795,-83.3356122,703,29838.454792141656
8534,42.3254794,-83.3356172,704,29838.865992202598
8534,42.325475,-83.335807,705,29854.477107592935
8534,42.3254682,-83.3361052,706,29879.003772067532
8534,42.3254628,-83.3363444,707,29898.67755872659
8534,42.3254569,-83.3366033,708,29919.9718267025
8534,42.3253806,-83.3399706,709,30196.92759858517
8534,42.3253751,-83.3402135,710,30216.905787643154
8534,42.3253705,-83.3404183,711,30233.750179292307
8534,42.3253681,-83.3405253,712,30242.55070523099
8534,42.325363,-83.340747,713,30260.78550176425
8534,42.3253565,-83.3410031,714,30281.8519092498
8534,42.3253491,-83.3412925,715,30305.65773807067
8534,42.3253438,-83.3415007,716,30322.784026090692
8534,42.3252897,-83.3436207,717,30497.173332211663
8534,42.3252867,-83.3437397,718,30506.962030248404
8534,42.325281,-83.343962,719,30525.248343622006
8534,42.3252765,-83.3441466,720,30540.432593435522
8534,42.325211,-83.3468232,721,30760.59703938107
8534,42.3252063,-83.3470164,722,30776.488663506196
8534,42.325203,-83.347152,723,30787.642417367104
8534,42.3251985,-83.3473438,724,30803.418290740505
8534,42.3251974,-83.3473919,725,30807.37449769847
8534,42.325177,-83.348267,726,30879.352501143087
8534,42.3251584,-83.3490258,727,30941.76798728592
8534,42.325152,-83.3492845,728,30963.047710785282
8534,42.3251373,-83.3498815,729,31012.154516400882
8534,42.3251309,-83.3501442,730,31033.762907445845
8534,42.325125,-83.350383,731,31053.405709050065
8534,42.3251224,-83.3505623,732,31068.1488691551
8534,42.3251204,-83.3506804,733,31077.860464700643
8534,42.3251203,-83.3506859,734,31078.312758644708
8534,42.3251089,-83.3514135,735,31138.142486464658
8534,42.325105,-83.3516595,736,31158.37089988701
8534,42.3251026,-83.3518124,737,31170.943706995527
8534,42.325091,-83.352556,738,31232.088994917704
8534,42.3250827,-83.3533091,739,31294.008563930216
8534,42.32508,-83.353549,740,31313.733137806797
8534,42.325078,-83.3536954,741,31325.770803759424
8534,42.3250766,-83.3538025,742,31334.576920467338
8534,42.3250612,-83.3549342,743,31427.630271696955
8534,42.3250376,-83.3566673,744,31570.13345328823
8534,42.3250373,-83.3566886,745,31571.884854980162
8534,42.325035,-83.356856,746,31585.649271700644
8534,42.3250323,-83.3570534,747,31601.880405293443
8534,42.325001,-83.3593749,748,31792.763911815484
8534,42.324995,-83.3598214,749,31829.476992540585
8534,42.3249943,-83.3598752,750,31833.90060612386
8534,42.324992,-83.360046,751,31847.94450090534
8534,42.324989,-83.3602505,752,31864.75987301992
8534,42.3249884,-83.3602934,753,31868.28733784777
8534,42.324957,-83.36244,754,32044.795148297126
8534,42.3249433,-83.3634379,755,32126.847278037487
8534,42.3249405,-83.3636441,756,32143.80197098521
8534,42.3249407,-83.3636921,757,32147.748144464127
8534,42.3249408,-83.3637348,758,32151.258556479246
8534,42.3249319,-83.3643222,759,32199.55923023288
8534,42.3249274,-83.3646173,760,32223.824754563506
8534,42.3249273,-83.3646239,761,32224.367458839923
8534,42.324924,-83.364841,762,32242.219165123865
8534,42.3249207,-83.3650384,763,32258.451698538833
8534,42.324919,-83.3651483,764,32267.488628333165
8534,42.3249179,-83.365218,765,32273.22001740887
8534,42.3249079,-83.3658309,766,32323.61920992545
8534,42.3249054,-83.3659878,767,32336.52106175792
8534,42.3249017,-83.3662187,768,32355.507968167796
8534,42.324884,-83.367307,769,32444.99952269014
8534,42.324872,-83.368231,770,32520.973949853884
8534,42.324883,-83.368439,771,32538.117470232555
8534,42.3248735,-83.3688287,772,32570.172399618536
8534,42.3248582,-83.3694562,773,32621.787684199666
8534,42.324853,-83.369668,774,32639.20951950812
